Departure_CITY,Arrival_CITY,COUPON,VACATION,Departure_avg_INCOME,Arrival_avg_INCOME,Departure_avg_population,Arrival_avg_population,SLOT,GATE,DISTANCE,PAX,FARE
Dallas/Fort Worth   TX,Amarillo            TX,1,No,28637,21112,3036732,205711,Free,Free,312,7864,64.11
Atlanta             GA,Baltimore/Wash Intl MD,1.06,No,26993,29838,3532657,7145897,Free,Free,576,8820,174.47
Boston              MA,Baltimore/Wash Intl MD,1.06,No,30124,29838,5787293,7145897,Free,Free,364,6452,207.76
Chicago             IL,Baltimore/Wash Intl MD,1.06,No,29260,29838,7830332,7145897,Controlled,Free,612,25144,85.47
Chicago             IL,Baltimore/Wash Intl MD,1.06,No,29260,29838,7830332,7145897,Free,Free,612,25144,85.47
Cleveland           OH,Baltimore/Wash Intl MD,1.01,No,26046,29838,2230955,7145897,Free,Free,309,13386,56.76
Dallas/Fort Worth   TX,Baltimore/Wash Intl MD,1.28,No,28637,29838,3036732,7145897,Free,Free,1220,4625,228
Fort Lauderdale     FL,Baltimore/Wash Intl MD,1.15,Yes,26752,29838,1440377,7145897,Free,Free,921,5512,116.54
Houston             TX,Baltimore/Wash Intl MD,1.33,No,27211,29838,3770125,7145897,Free,Free,1249,7811,172.63
Kansas City         MO,Baltimore/Wash Intl MD,1.6,No,25450,29838,1694803,7145897,Free,Free,964,4657,114.76
Las Vegas           NV,Baltimore/Wash Intl MD,1.57,Yes,24575,29838,1197234,7145897,Free,Free,2104,4489,158.2
Los Angeles         CA,Baltimore/Wash Intl MD,1.5,No,24706,29838,9056076,7145897,Free,Free,2329,7349,228.99
Nashville           TN,Baltimore/Wash Intl MD,1.12,No,25995,29838,1115048,7145897,Free,Free,587,5654,79.17
New Orleans         LA,Baltimore/Wash Intl MD,1.29,No,22038,29838,1308499,7145897,Free,Free,992,3525,132.05
New York/Newark     NY,Baltimore/Wash Intl MD,1,No,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.23
New York/Newark     NY,Baltimore/Wash Intl MD,1,No,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.23
New York/Newark     NY,Baltimore/Wash Intl MD,1,No,32991,29838,8621121,7145897,Free,Constrained,181,7171,117.23
Orlando             FL,Baltimore/Wash Intl MD,1.13,Yes,22360,29838,1421287,7145897,Free,Free,788,11013,106.11
Phoenix             AZ,Baltimore/Wash Intl MD,1.86,No,23025,29838,2753373,7145897,Free,Free,2001,4408,181.16
Salt Lake City      UT,Baltimore/Wash Intl MD,1.93,No,21121,29838,1228816,7145897,Free,Free,1866,2767,157.5
San Diego           CA,Baltimore/Wash Intl MD,1.87,No,23903,29838,2673620,7145897,Free,Free,2290,3170,200.2
San Francisco       CA,Baltimore/Wash Intl MD,1.52,No,38813,29838,1653017,7145897,Free,Free,2454,6417,246.85
St Louis            MO,Baltimore/Wash Intl MD,1.14,No,25824,29838,2549844,7145897,Free,Free,729,10264,99.7
Tampa               FL,Baltimore/Wash Intl MD,1.13,Yes,23654,29838,2195215,7145897,Free,Free,846,7082,106.77
Chicago             IL,Birmingham          AL,1.16,No,29260,23858,7830332,895414,Controlled,Free,576,4138,113.5
Chicago             IL,Birmingham          AL,1.16,No,29260,23858,7830332,895414,Free,Free,576,4138,113.5
Seattle/Tacoma      WA,Boise               ID,1.07,No,30916,23901,2230831,372606,Free,Free,403,5995,69.12
Atlanta             GA,Boston              MA,1.25,No,26993,30124,3532657,5787293,Free,Free,939,14005,210
New York/Newark     NY,Buffalo             NY,1.01,No,32991,23184,8621121,1173217,Controlled,Free,291,12432,134.3
New York/Newark     NY,Buffalo             NY,1.01,No,32991,23184,8621121,1173217,Controlled,Free,291,12432,134.3
New York/Newark     NY,Buffalo             NY,1.01,No,32991,23184,8621121,1173217,Free,Constrained,291,12432,134.3
New York/Newark     NY,Charleston          SC,1.34,No,32991,18851,8621121,254153,Controlled,Free,637,6003,118.95
New York/Newark     NY,Charleston          SC,1.34,No,32991,18851,8621121,254153,Controlled,Free,637,6003,118.95
New York/Newark     NY,Charleston          SC,1.34,No,32991,18851,8621121,254153,Free,Constrained,637,6003,118.95
Atlanta             GA,Charlotte           NC,1.01,No,26993,25237,3532657,1318892,Free,Constrained,227,7335,97.96
Boston              MA,Charlotte           NC,1.25,No,30124,25237,5787293,1318892,Free,Constrained,722,3263,237.8
Chicago             IL,Charlotte           NC,1.16,No,29260,25237,7830332,1318892,Controlled,Constrained,589,5153,234.15
Chicago             IL,Charlotte           NC,1.16,No,29260,25237,7830332,1318892,Free,Constrained,589,5153,234.15
Dallas/Fort Worth   TX,Charlotte           NC,1.14,No,28637,25237,3036732,1318892,Free,Constrained,940,4493,203.17
New York/Newark     NY,Charlotte           NC,1.12,No,32991,25237,8621121,1318892,Controlled,Constrained,539,9305,250.73
New York/Newark     NY,Charlotte           NC,1.12,No,32991,25237,8621121,1318892,Controlled,Constrained,539,9305,250.73
New York/Newark     NY,Charlotte           NC,1.12,No,32991,25237,8621121,1318892,Free,Constrained,539,9305,250.73
Atlanta             GA,Chicago             IL,1.04,No,26993,29260,3532657,7830332,Controlled,Free,595,30877,106.6
Atlanta             GA,Chicago             IL,1.04,No,26993,29260,3532657,7830332,Free,Free,595,30877,106.6
Austin              TX,Chicago             IL,1.25,No,23665,29260,1038660,7830332,Controlled,Free,974,4980,136.27
Austin              TX,Chicago             IL,1.25,No,23665,29260,1038660,7830332,Free,Free,974,4980,136.27
Boston              MA,Chicago             IL,1.15,No,30124,29260,5787293,7830332,Controlled,Free,854,20718,230.87
Boston              MA,Chicago             IL,1.15,No,30124,29260,5787293,7830332,Free,Free,854,20718,230.87
Cincinnati          OH,Chicago             IL,1.01,No,25059,29260,1595139,7830332,Controlled,Constrained,254,7069,180.56
Cincinnati          OH,Chicago             IL,1.01,No,25059,29260,1595139,7830332,Free,Constrained,254,7069,180.56
Atlanta             GA,Cincinnati          OH,1.16,No,26993,25059,3532657,1595139,Free,Constrained,371,3892,215.83
Atlanta             GA,Cleveland           OH,1.12,No,26993,26046,3532657,2915745,Free,Free,561,4821,197.1
Chicago             IL,Cleveland           OH,1.01,No,29260,26046,7830332,2915745,Controlled,Free,316,24405,69.1
Chicago             IL,Cleveland           OH,1.01,No,29260,26046,7830332,2915745,Free,Free,316,24405,69.1
Dallas/Fort Worth   TX,Colorado Springs    CO,1.06,No,28637,22263,3036732,472254,Free,Free,592,6098,91.83
Houston             TX,Colorado Springs    CO,1.19,No,27211,22263,3770125,472254,Free,Free,817,4281,111.66
Las Vegas           NV,Colorado Springs    CO,1.16,Yes,24575,22263,1197234,472254,Free,Free,602,8810,57.62
Los Angeles         CA,Colorado Springs    CO,1.36,No,24706,22263,9056076,472254,Free,Free,833,5762,104.72
New York/Newark     NY,Colorado Springs    CO,1.36,No,32991,22263,8621121,472254,Controlled,Free,1636,5185,154.74
New York/Newark     NY,Colorado Springs    CO,1.36,No,32991,22263,8621121,472254,Controlled,Free,1636,5185,154.74
New York/Newark     NY,Colorado Springs    CO,1.36,No,32991,22263,8621121,472254,Free,Constrained,1636,5185,154.74
Phoenix             AZ,Colorado Springs    CO,1.09,No,23025,22263,2753373,472254,Free,Free,550,7599,77.98
Washington          DC,Colorado Springs    CO,1.68,No,31981,22263,4549784,472254,Free,Free,1476,4945,157.2
Washington          DC,Colorado Springs    CO,1.68,No,31981,22263,4549784,472254,Controlled,Free,1476,4945,157.2
Atlanta             GA,Columbus            OH,1.13,No,26993,24502,3532657,1442203,Free,Free,445,6075,113.2
Boston              MA,Columbus            OH,1.22,No,30124,24502,5787293,1442203,Free,Free,633,4758,143.59
Chicago             IL,Columbus            OH,1.01,No,29260,24502,7830332,1442203,Controlled,Free,286,14516,75.07
Chicago             IL,Columbus            OH,1.01,No,29260,24502,7830332,1442203,Free,Free,286,14516,75.07
Albuquerque         NM,Dallas/Fort Worth   TX,1.02,No,22089,28637,668159,3036732,Free,Free,573,10941,84.46
Atlanta             GA,Dallas/Fort Worth   TX,1.05,No,26993,28637,3532657,3036732,Free,Free,734,23075,113.99
Austin              TX,Dallas/Fort Worth   TX,1,No,23665,28637,1038660,3036732,Free,Free,184,18843,67.17
Boston              MA,Dallas/Fort Worth   TX,1.19,No,30124,28637,5787293,3036732,Free,Free,1559,8756,320.37
Chicago             IL,Dallas/Fort Worth   TX,1.14,No,29260,28637,7830332,3036732,Controlled,Free,805,20264,244.5
Chicago             IL,Dallas/Fort Worth   TX,1.14,No,29260,28637,7830332,3036732,Free,Free,805,20264,244.5
Corpus Christi      TX,Dallas/Fort Worth   TX,1.02,No,18933,28637,382155,3036732,Free,Free,354,5391,78.62
Atlanta             GA,Denver              CO,1.23,No,26993,29055,3532657,1862106,Free,Free,1200,7621,210.9
Boston              MA,Denver              CO,1.35,No,30124,29055,5787293,1862106,Free,Free,1755,5820,311.46
Chicago             IL,Denver              CO,1.08,No,29260,29055,7830332,1862106,Controlled,Free,902,16263,174.06
Chicago             IL,Denver              CO,1.08,No,29260,29055,7830332,1862106,Free,Free,902,16263,174.06
Dallas/Fort Worth   TX,Denver              CO,1.06,No,28637,29055,3036732,1862106,Free,Free,638,11298,155.81
Atlanta             GA,Detroit             MI,1.05,No,26993,26506,3532657,4459144,Free,Constrained,600,12752,106.56
Boston              MA,Detroit             MI,1.06,No,30124,26506,5787293,4459144,Free,Constrained,616,10358,110.42
Chicago             IL,Detroit             MI,1,No,29260,26506,7830332,4459144,Controlled,Constrained,237,34113,74.28
Chicago             IL,Detroit             MI,1,No,29260,26506,7830332,4459144,Free,Constrained,237,34113,74.28
Dallas/Fort Worth   TX,Detroit             MI,1.22,No,28637,26506,3036732,4459144,Free,Constrained,1001,6401,245.28
Denver              CO,Detroit             MI,1.21,No,29055,26506,1862106,4459144,Free,Constrained,1139,3851,256.48
Dallas/Fort Worth   TX,El Paso             TX,1.02,No,28637,14600,3036732,677757,Free,Free,548,10989,84.23
Atlanta             GA,Fort Lauderdale     FL,1.02,Yes,26993,26752,3532657,1440377,Free,Free,578,11425,105.1
Boston              MA,Fort Lauderdale     FL,1.27,Yes,30124,26752,5787293,1440377,Free,Free,1229,10483,121.09
Chicago             IL,Fort Lauderdale     FL,1.15,Yes,29260,26752,7830332,1440377,Controlled,Free,1168,10117,153.95
Chicago             IL,Fort Lauderdale     FL,1.15,Yes,29260,26752,7830332,1440377,Free,Free,1168,10117,153.95
Dallas/Fort Worth   TX,Fort Lauderdale     FL,1.16,Yes,28637,26752,3036732,1440377,Free,Free,1118,3402,207.84
Detroit             MI,Fort Lauderdale     FL,1.17,Yes,26506,26752,4459144,1440377,Free,Constrained,1128,6103,113.39
Boston              MA,Fort Meyers         FL,1.47,Yes,30124,26752,5787293,379566,Free,Free,1245,6390,126.62
Chicago             IL,Fort Meyers         FL,1.2,Yes,29260,26752,7830332,379566,Controlled,Free,1108,7196,136.68
Chicago             IL,Fort Meyers         FL,1.2,Yes,29260,26752,7830332,379566,Free,Free,1108,7196,136.68
Detroit             MI,Fort Meyers         FL,1.13,Yes,26506,26752,4459144,379566,Free,Constrained,1088,7049,108.15
New York/Newark     NY,Greensboro/High Pt  NC,1.07,No,32991,24348,8621121,111745,Controlled,Free,457,7574,180.85
New York/Newark     NY,Greensboro/High Pt  NC,1.07,No,32991,24348,8621121,111745,Controlled,Free,457,7574,180.85
New York/Newark     NY,Greensboro/High Pt  NC,1.07,No,32991,24348,8621121,111745,Free,Constrained,457,7574,180.85
Atlanta             GA,Hartford            CT,1.34,No,26993,30268,3532657,1106780,Free,Free,854,5806,175.81
Chicago             IL,Hartford            CT,1.13,No,29260,30268,7830332,1106780,Controlled,Free,779,6614,240.88
Chicago             IL,Hartford            CT,1.13,No,29260,30268,7830332,1106780,Free,Free,779,6614,240.88
Las Vegas           NV,Honolulu (Intl)     HI,1.56,Yes,24575,26681,1197234,873131,Free,Free,2764,6462,183.19
Los Angeles         CA,Honolulu (Intl)     HI,1.03,Yes,24706,26681,9056076,873131,Free,Free,2555,32824,167.16
San Francisco       CA,Honolulu (Intl)     HI,1.04,Yes,38813,26681,1653017,873131,Free,Free,2401,19055,177.09
Seattle/Tacoma      WA,Honolulu (Intl)     HI,1.29,Yes,30916,26681,2230831,873131,Free,Free,2679,6464,221.89
Atlanta             GA,Houston             TX,1.19,No,26993,27211,3532657,3770125,Free,Free,701,7201,233.16
Austin              TX,Houston             TX,1,No,23665,27211,1038660,3770125,Free,Free,138,9874,67.1
Boston              MA,Houston             TX,1.41,No,30124,27211,5787293,3770125,Free,Free,1605,4272,349.97
Chicago             IL,Houston             TX,1.09,No,29260,27211,7830332,3770125,Controlled,Free,939,16868,139.56
Chicago             IL,Houston             TX,1.09,No,29260,27211,7830332,3770125,Free,Free,939,16868,139.56
Cleveland           OH,Houston             TX,1.31,No,26046,27211,2230955,3770125,Free,Free,1117,4057,191.63
Corpus Christi      TX,Houston             TX,1,No,18933,27211,382155,3770125,Free,Free,184,5312,65.31
Dallas/Fort Worth   TX,Houston             TX,1,No,28637,27211,3036732,3770125,Free,Free,234,54429,67.78
Denver              CO,Houston             TX,1.14,No,29055,27211,1862106,3770125,Free,Free,866,5860,204.68
Detroit             MI,Houston             TX,1.19,No,26506,27211,4459144,3770125,Free,Constrained,1102,4660,177.22
Atlanta             GA,Indianapolis        IN,1.12,No,26993,25475,3532657,1489247,Free,Free,430,5378,109.78
Chicago             IL,Indianapolis        IN,1,No,29260,25475,7830332,1489247,Controlled,Free,167,9355,62.63
Chicago             IL,Indianapolis        IN,1,No,29260,25475,7830332,1489247,Free,Free,167,9355,62.63
Detroit             MI,Indianapolis        IN,1.11,No,26506,25475,4459144,1489247,Free,Constrained,241,4790,169.58
Fort Meyers         FL,Indianapolis        IN,1.21,Yes,24510,25475,379566,1489247,Free,Free,943,3624,105.73
Las Vegas           NV,Indianapolis        IN,1.34,Yes,24575,25475,1197234,1489247,Free,Free,1588,7406,114.13
Los Angeles         CA,Indianapolis        IN,1.52,No,24706,25475,9056076,1489247,Free,Free,1815,5869,153.5
New York/Newark     NY,Indianapolis        IN,1.27,No,32991,25475,8621121,1489247,Controlled,Free,657,7109,195.64
New York/Newark     NY,Indianapolis        IN,1.27,No,32991,25475,8621121,1489247,Controlled,Free,657,7109,195.64
New York/Newark     NY,Indianapolis        IN,1.27,No,32991,25475,8621121,1489247,Free,Constrained,657,7109,195.64
Orlando             FL,Indianapolis        IN,1.24,Yes,22360,25475,1421287,1489247,Free,Free,828,7675,97.36
Phoenix             AZ,Indianapolis        IN,1.27,No,23025,25475,2753373,1489247,Free,Free,1491,5100,138.08
San Francisco       CA,Indianapolis        IN,1.71,No,38813,25475,1653017,1489247,Free,Free,1941,3814,157.45
Tampa               FL,Indianapolis        IN,1.28,Yes,23654,25475,2195215,1489247,Free,Free,844,5160,99.43
Atlanta             GA,Jacksonville        FL,1,Yes,26993,23614,3532657,1008768,Free,Free,280,8571,87.59
Chicago             IL,Jacksonville        FL,1.45,Yes,29260,23614,7830332,1008768,Controlled,Free,865,3789,158.63
Chicago             IL,Jacksonville        FL,1.45,Yes,29260,23614,7830332,1008768,Free,Free,865,3789,158.63
Fort Lauderdale     FL,Jacksonville        FL,1.01,Yes,26752,23614,1440377,1008768,Free,Free,303,1859,114.93
Atlanta             GA,Kansas City         MO,1.11,No,26993,25450,3532657,1694803,Free,Free,685,6426,116.18
Chicago             IL,Kansas City         MO,1.04,No,29260,25450,7830332,1694803,Controlled,Free,407,20529,75.71
Chicago             IL,Kansas City         MO,1.04,No,29260,25450,7830332,1694803,Free,Free,407,20529,75.71
Dallas/Fort Worth   TX,Kansas City         MO,1.2,No,28637,25450,3036732,1694803,Free,Free,458,9381,116.57
Denver              CO,Kansas City         MO,1.02,No,29055,25450,1862106,1694803,Free,Free,541,7679,110.25
Detroit             MI,Kansas City         MO,1.31,No,26506,25450,4459144,1694803,Free,Constrained,639,4987,123.27
Houston             TX,Kansas City         MO,1.08,No,27211,25450,3770125,1694803,Free,Free,652,4649,127.78
Las Vegas           NV,Kansas City         MO,1.39,Yes,24575,25450,1197234,1694803,Free,Free,1140,8309,78.24
Los Angeles         CA,Kansas City         MO,1.31,No,24706,25450,9056076,1694803,Free,Free,1365,7959,116
Albuquerque         NM,Las Vegas           NV,1.08,Yes,22089,24575,668159,1197234,Free,Free,479,7170,72.43
Atlanta             GA,Las Vegas           NV,1.44,Yes,26993,24575,3532657,1197234,Free,Free,1744,7881,143.62
Austin              TX,Las Vegas           NV,1.35,Yes,23665,24575,1038660,1197234,Free,Free,1087,5738,80.31
Boston              MA,Las Vegas           NV,1.49,Yes,30124,24575,5787293,1197234,Free,Free,2372,10235,133.35
Burbank             CA,Las Vegas           NV,1,Yes,24706,24575,9056076,1197234,Free,Free,226,16845,52.92
Chicago             IL,Las Vegas           NV,1.15,Yes,29260,24575,7830332,1197234,Controlled,Free,1519,23739,123.74
Chicago             IL,Las Vegas           NV,1.15,Yes,29260,24575,7830332,1197234,Free,Free,1519,23739,123.74
Cleveland           OH,Las Vegas           NV,1.36,Yes,26046,24575,2230955,1197234,Free,Free,1831,4543,159.12
Columbus            OH,Las Vegas           NV,1.42,Yes,24502,24575,125722,1197234,Free,Free,1769,7231,115.84
Dallas/Fort Worth   TX,Las Vegas           NV,1.16,Yes,28637,24575,3036732,1197234,Free,Free,1052,6986,164.88
Denver              CO,Las Vegas           NV,1.13,Yes,29055,24575,1862106,1197234,Free,Free,618,10206,89.47
Detroit             MI,Las Vegas           NV,1.19,Yes,26506,24575,4459144,1197234,Free,Constrained,1756,6675,163.78
Houston             TX,Las Vegas           NV,1.18,Yes,27211,24575,3770125,1197234,Free,Free,1222,9632,112.99
Los Angeles         CA,Las Vegas           NV,1,Yes,24706,24575,9056076,1197234,Free,Free,238,51358,55.57
Los Angeles         CA,Las Vegas           NV,1,Yes,24706,24575,9056076,1197234,Free,Free,238,51358,55.57
Dallas/Fort Worth   TX,Little Rock         AR,1,No,28637,22726,3036732,547633,Free,Free,308,10451,59.77
Albuquerque         NM,Los Angeles         CA,1.09,No,22089,24706,668159,9056076,Free,Free,673,11980,76.79
Atlanta             GA,Los Angeles         CA,1.38,No,26993,24706,3532657,9056076,Free,Free,1946,13365,225.56
Boston              MA,Los Angeles         CA,1.35,No,30124,24706,5787293,9056076,Free,Free,2605,14737,301.79
Chicago             IL,Los Angeles         CA,1.19,No,29260,24706,7830332,9056076,Controlled,Free,1751,29771,233.78
Chicago             IL,Los Angeles         CA,1.19,No,29260,24706,7830332,9056076,Free,Free,1751,29771,233.78
Cleveland           OH,Los Angeles         CA,1.56,No,26046,24706,2230955,9056076,Free,Free,2062,4531,231.97
Columbus            OH,Los Angeles         CA,1.92,No,24502,24706,125722,9056076,Free,Free,1996,3542,179.23
Dallas/Fort Worth   TX,Los Angeles         CA,1.2,No,28637,24706,3036732,9056076,Free,Free,1234,9746,272.06
Denver              CO,Los Angeles         CA,1.1,No,29055,24706,1862106,9056076,Free,Free,854,20889,129.8
Detroit             MI,Los Angeles         CA,1.52,No,26506,24706,4459144,9056076,Free,Constrained,1988,6758,295.49
Fort Lauderdale     FL,Los Angeles         CA,1.27,Yes,26752,24706,1440377,9056076,Free,Free,2341,4719,193.5
Houston             TX,Los Angeles         CA,1.27,No,27211,24706,3770125,9056076,Free,Free,1379,11760,195.28
Atlanta             GA,Louisville          KY,1.04,No,26993,24307,3532657,989164,Free,Free,320,4562,101.68
Baltimore/Wash Intl MD,Louisville          KY,1.13,No,29838,24307,29838,989164,Free,Free,495,6218,60.26
Chicago             IL,Louisville          KY,1.02,No,29260,24307,7830332,989164,Controlled,Free,276,8793,68.06
Chicago             IL,Louisville          KY,1.02,No,29260,24307,7830332,989164,Free,Free,276,8793,68.06
Dallas/Fort Worth   TX,Lubbock             TX,1,No,28637,20980,3036732,231325,Free,Free,283,9446,60.87
Atlanta             GA,Memphis             TN,1.01,No,26993,24725,3532657,1074558,Free,Free,331,10255,70.62
Atlanta             GA,Miami               FL,1.01,Yes,26993,21207,3532657,2105604,Free,Free,595,14119,97.93
Boston              MA,Miami               FL,1.24,Yes,30124,21207,5787293,2105604,Free,Free,1259,7322,158.5
Chicago             IL,Miami               FL,1.15,Yes,29260,21207,7830332,2105604,Controlled,Free,1187,10671,168.92
Chicago             IL,Miami               FL,1.15,Yes,29260,21207,7830332,2105604,Free,Free,1187,10671,168.92
Dallas/Fort Worth   TX,Miami               FL,1.16,Yes,28637,21207,3036732,2105604,Free,Free,1116,4613,185.11
Detroit             MI,Miami               FL,1.17,Yes,26506,21207,4459144,2105604,Free,Constrained,1151,5064,133.98
Los Angeles         CA,Miami               FL,1.21,Yes,24706,21207,9056076,2105604,Free,Free,2336,11193,207.83
Las Vegas           NV,Milwaukee           WI,1.42,Yes,24575,26695,1197234,1646147,Free,Free,1521,2963,146.36
New York/Newark     NY,Milwaukee           WI,1.29,No,32991,26695,8621121,1646147,Controlled,Free,736,6590,190.09
New York/Newark     NY,Milwaukee           WI,1.29,No,32991,26695,8621121,1646147,Controlled,Free,736,6590,190.09
New York/Newark     NY,Milwaukee           WI,1.29,No,32991,26695,8621121,1646147,Free,Constrained,736,6590,190.09
Orlando             FL,Milwaukee           WI,1.49,Yes,22360,26695,1421287,1646147,Free,Free,1066,6935,104.87
Phoenix             AZ,Milwaukee           WI,1.36,No,23025,26695,2753373,1646147,Free,Free,1461,4879,154.06
Atlanta             GA,Minneapolis/St Paul MN,1.17,No,26993,28739,3532657,2761118,Free,Constrained,904,5578,269.43
Boston              MA,Minneapolis/St Paul MN,1.18,No,30124,28739,5787293,2761118,Free,Constrained,1114,7276,258.85
Chicago             IL,Minneapolis/St Paul MN,1.01,No,29260,28739,7830332,2761118,Controlled,Constrained,342,29137,156.93
Chicago             IL,Minneapolis/St Paul MN,1.01,No,29260,28739,7830332,2761118,Free,Constrained,342,29137,156.93
Dallas/Fort Worth   TX,Minneapolis/St Paul MN,1.1,No,28637,28739,3036732,2761118,Free,Constrained,857,6621,230.71
Denver              CO,Minneapolis/St Paul MN,1.02,No,29055,28739,1862106,2761118,Free,Constrained,693,10147,133.5
Detroit             MI,Minneapolis/St Paul MN,1.14,No,26506,28739,4459144,2761118,Free,Constrained,530,5389,286.54
Kansas City         MO,Minneapolis/St Paul MN,1.19,No,25450,28739,1694803,2761118,Free,Constrained,401,3733,232.55
Las Vegas           NV,Minneapolis/St Paul MN,1.13,Yes,24575,28739,1197234,2761118,Free,Constrained,1301,4353,171.67
Los Angeles         CA,Minneapolis/St Paul MN,1.24,No,24706,28739,9056076,2761118,Free,Constrained,1539,7749,246.1
Chicago             IL,Nashville           TN,1.02,No,29260,25995,7830332,1115048,Controlled,Free,401,10902,84.21
Chicago             IL,Nashville           TN,1.02,No,29260,25995,7830332,1115048,Free,Free,401,10902,84.21
Dallas/Fort Worth   TX,Nashville           TN,1.1,No,28637,25995,3036732,1115048,Free,Free,634,4632,181.99
Detroit             MI,Nashville           TN,1.16,No,26506,25995,4459144,1115048,Free,Constrained,466,6143,166.25
Houston             TX,Nashville           TN,1.08,No,27211,25995,3770125,1115048,Free,Free,671,5772,107.86
Los Angeles         CA,Nashville           TN,1.57,No,24706,25995,9056076,1115048,Free,Free,1798,4462,181.02
New York/Newark     NY,Nashville           TN,1.26,No,32991,25995,8621121,1115048,Controlled,Free,760,7387,215.01
New York/Newark     NY,Nashville           TN,1.26,No,32991,25995,8621121,1115048,Controlled,Free,760,7387,215.01
New York/Newark     NY,Nashville           TN,1.26,No,32991,25995,8621121,1115048,Free,Constrained,760,7387,215.01
Orlando             FL,Nashville           TN,1.17,Yes,22360,25995,1421287,1115048,Free,Free,615,6224,87.8
Atlanta             GA,New Orleans         LA,1.02,No,26993,22038,3532657,1308499,Free,Free,419,7796,120.7
