Departure_CITY,Arrival_CITY,COUPON,VACATION,Departure_avg_INCOME,Arrival_avg_INCOME,Departure_avg_population,Arrival_avg_population,SLOT,GATE,DISTANCE,PAX,FARE
Chicago             IL,New Orleans         LA,1.2,No,29260,22038,7830332,1308499,Controlled,Free,829,8356,132.85
Chicago             IL,New Orleans         LA,1.2,No,29260,22038,7830332,1308499,Free,Free,829,8356,132.85
Dallas/Fort Worth   TX,New Orleans         LA,1.05,No,28637,22038,3036732,1308499,Free,Free,455,12717,84.53
Houston             TX,New Orleans         LA,1.01,No,27211,22038,3770125,1308499,Free,Free,319,19894,76.81
Los Angeles         CA,New Orleans         LA,1.43,No,24706,22038,9056076,1308499,Free,Free,1678,5559,202
Albuquerque         NM,New York/Newark     NY,1.92,No,22089,32991,668159,8621121,Controlled,Free,1822,4002,208.79
Albuquerque         NM,New York/Newark     NY,1.92,No,22089,32991,668159,8621121,Controlled,Free,1822,4002,208.79
Albuquerque         NM,New York/Newark     NY,1.92,No,22089,32991,668159,8621121,Free,Constrained,1822,4002,208.79
Atlanta             GA,New York/Newark     NY,1.06,No,26993,32991,3532657,8621121,Controlled,Free,756,48642,162.28
Atlanta             GA,New York/Newark     NY,1.06,No,26993,32991,3532657,8621121,Controlled,Free,756,48642,162.28
Atlanta             GA,New York/Newark     NY,1.06,No,26993,32991,3532657,8621121,Free,Constrained,756,48642,162.28
Austin              TX,New York/Newark     NY,1.69,No,23665,32991,1038660,8621121,Controlled,Free,1515,3802,287.23
Austin              TX,New York/Newark     NY,1.69,No,23665,32991,1038660,8621121,Controlled,Free,1515,3802,287.23
Austin              TX,New York/Newark     NY,1.69,No,23665,32991,1038660,8621121,Free,Constrained,1515,3802,287.23
Boston              MA,New York/Newark     NY,1,No,30124,32991,5787293,8621121,Controlled,Free,183,66820,116.78
Boston              MA,New York/Newark     NY,1,No,30124,32991,5787293,8621121,Controlled,Free,183,66820,116.78
Boston              MA,New York/Newark     NY,1,No,30124,32991,5787293,8621121,Free,Constrained,183,66820,116.78
Chicago             IL,New York/Newark     NY,1.05,No,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
Chicago             IL,New York/Newark     NY,1.05,No,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
Chicago             IL,New York/Newark     NY,1.05,No,29260,32991,7830332,8621121,Controlled,Constrained,723,73892,159.71
Chicago             IL,New York/Newark     NY,1.05,No,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
Chicago             IL,New York/Newark     NY,1.05,No,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
Chicago             IL,New York/Newark     NY,1.05,No,29260,32991,7830332,8621121,Free,Constrained,723,73892,159.71
Cincinnati          OH,New York/Newark     NY,1.1,No,25059,32991,1595139,8621121,Controlled,Constrained,582,9567,205
Cincinnati          OH,New York/Newark     NY,1.1,No,25059,32991,1595139,8621121,Controlled,Constrained,582,9567,205
Cincinnati          OH,New York/Newark     NY,1.1,No,25059,32991,1595139,8621121,Free,Constrained,582,9567,205
Cleveland           OH,New York/Newark     NY,1.07,No,26046,32991,2230955,8621121,Controlled,Free,408,13252,143.44
Cleveland           OH,New York/Newark     NY,1.07,No,26046,32991,2230955,8621121,Controlled,Free,408,13252,143.44
Cleveland           OH,New York/Newark     NY,1.07,No,26046,32991,2230955,8621121,Free,Constrained,408,13252,143.44
Columbus            OH,New York/Newark     NY,1.11,No,24502,32991,125722,8621121,Controlled,Free,475,10168,174.87
Columbus            OH,New York/Newark     NY,1.11,No,24502,32991,125722,8621121,Controlled,Free,475,10168,174.87
Columbus            OH,New York/Newark     NY,1.11,No,24502,32991,125722,8621121,Free,Constrained,475,10168,174.87
Dallas/Fort Worth   TX,New York/Newark     NY,1.12,No,28637,32991,3036732,8621121,Controlled,Free,1389,24082,304.18
Dallas/Fort Worth   TX,New York/Newark     NY,1.12,No,28637,32991,3036732,8621121,Controlled,Free,1389,24082,304.18
Dallas/Fort Worth   TX,New York/Newark     NY,1.12,No,28637,32991,3036732,8621121,Free,Constrained,1389,24082,304.18
Denver              CO,New York/Newark     NY,1.25,No,29055,32991,1862106,8621121,Controlled,Free,1624,16240,270.36
Denver              CO,New York/Newark     NY,1.25,No,29055,32991,1862106,8621121,Controlled,Free,1624,16240,270.36
Denver              CO,New York/Newark     NY,1.25,No,29055,32991,1862106,8621121,Free,Constrained,1624,16240,270.36
Detroit             MI,New York/Newark     NY,1.06,No,26506,32991,4459144,8621121,Controlled,Constrained,492,17775,209.35
Detroit             MI,New York/Newark     NY,1.06,No,26506,32991,4459144,8621121,Controlled,Constrained,492,17775,209.35
Detroit             MI,New York/Newark     NY,1.06,No,26506,32991,4459144,8621121,Free,Constrained,492,17775,209.35
Fort Lauderdale     FL,New York/Newark     NY,1.06,Yes,26752,32991,1440377,8621121,Controlled,Free,1068,40159,123.18
Fort Lauderdale     FL,New York/Newark     NY,1.06,Yes,26752,32991,1440377,8621121,Controlled,Free,1068,40159,123.18
Fort Lauderdale     FL,New York/Newark     NY,1.06,Yes,26752,32991,1440377,8621121,Free,Constrained,1068,40159,123.18
Fort Meyers         FL,New York/Newark     NY,1.22,Yes,24510,32991,379566,8621121,Controlled,Free,1076,9399,143.2
Fort Meyers         FL,New York/Newark     NY,1.22,Yes,24510,32991,379566,8621121,Controlled,Free,1076,9399,143.2
Fort Meyers         FL,New York/Newark     NY,1.22,Yes,24510,32991,379566,8621121,Free,Constrained,1076,9399,143.2
Greenville/Sprtnbg  SC,New York/Newark     NY,1.29,No,21081,32991,895123,8621121,Controlled,Free,613,3806,144.6
Greenville/Sprtnbg  SC,New York/Newark     NY,1.29,No,21081,32991,895123,8621121,Controlled,Free,613,3806,144.6
Greenville/Sprtnbg  SC,New York/Newark     NY,1.29,No,21081,32991,895123,8621121,Free,Constrained,613,3806,144.6
Houston             TX,New York/Newark     NY,1.29,No,27211,32991,3770125,8621121,Controlled,Free,1426,15711,349.53
Houston             TX,New York/Newark     NY,1.29,No,27211,32991,3770125,8621121,Controlled,Free,1426,15711,349.53
Houston             TX,New York/Newark     NY,1.29,No,27211,32991,3770125,8621121,Free,Constrained,1426,15711,349.53
Jacksonville        FL,New York/Newark     NY,1.34,Yes,23614,32991,1008768,8621121,Controlled,Free,842,7098,183.43
Jacksonville        FL,New York/Newark     NY,1.34,Yes,23614,32991,1008768,8621121,Controlled,Free,842,7098,183.43
Jacksonville        FL,New York/Newark     NY,1.34,Yes,23614,32991,1008768,8621121,Free,Constrained,842,7098,183.43
Kansas City         MO,New York/Newark     NY,1.4,No,25450,32991,1694803,8621121,Controlled,Free,1103,7543,223.99
Kansas City         MO,New York/Newark     NY,1.4,No,25450,32991,1694803,8621121,Controlled,Free,1103,7543,223.99
Kansas City         MO,New York/Newark     NY,1.4,No,25450,32991,1694803,8621121,Free,Constrained,1103,7543,223.99
Las Vegas           NV,New York/Newark     NY,1.36,Yes,24575,32991,1197234,8621121,Controlled,Free,2237,26582,169.41
Las Vegas           NV,New York/Newark     NY,1.36,Yes,24575,32991,1197234,8621121,Controlled,Free,2237,26582,169.41
Las Vegas           NV,New York/Newark     NY,1.36,Yes,24575,32991,1197234,8621121,Free,Constrained,2237,26582,169.41
Los Angeles         CA,New York/Newark     NY,1.17,No,24706,32991,9056076,8621121,Controlled,Free,2467,60435,326.47
Los Angeles         CA,New York/Newark     NY,1.17,No,24706,32991,9056076,8621121,Controlled,Free,2467,60435,326.47
Los Angeles         CA,New York/Newark     NY,1.17,No,24706,32991,9056076,8621121,Free,Constrained,2467,60435,326.47
Memphis             TN,New York/Newark     NY,1.29,No,24725,32991,1074558,8621121,Controlled,Free,951,4614,234.31
Memphis             TN,New York/Newark     NY,1.29,No,24725,32991,1074558,8621121,Controlled,Free,951,4614,234.31
Memphis             TN,New York/Newark     NY,1.29,No,24725,32991,1074558,8621121,Free,Constrained,951,4614,234.31
Miami               FL,New York/Newark     NY,1.05,Yes,21207,32991,2105604,8621121,Controlled,Free,1097,51122,124.92
Miami               FL,New York/Newark     NY,1.05,Yes,21207,32991,2105604,8621121,Controlled,Free,1097,51122,124.92
Miami               FL,New York/Newark     NY,1.05,Yes,21207,32991,2105604,8621121,Free,Constrained,1097,51122,124.92
Minneapolis/St Paul MN,New York/Newark     NY,1.15,No,28739,32991,2761118,8621121,Controlled,Constrained,1015,13123,278.39
Minneapolis/St Paul MN,New York/Newark     NY,1.15,No,28739,32991,2761118,8621121,Controlled,Constrained,1015,13123,278.39
Minneapolis/St Paul MN,New York/Newark     NY,1.15,No,28739,32991,2761118,8621121,Free,Constrained,1015,13123,278.39
New Orleans         LA,New York/Newark     NY,1.42,No,22038,32991,1308499,8621121,Controlled,Free,1173,10334,208.71
New Orleans         LA,New York/Newark     NY,1.42,No,22038,32991,1308499,8621121,Controlled,Free,1173,10334,208.71
New Orleans         LA,New York/Newark     NY,1.42,No,22038,32991,1308499,8621121,Free,Constrained,1173,10334,208.71
Norfolk/Va B/Pt/Ch  VA,New York/Newark     NY,1.02,No,21125,32991,1536012,8621121,Controlled,Free,291,6295,150.13
Norfolk/Va B/Pt/Ch  VA,New York/Newark     NY,1.02,No,21125,32991,1536012,8621121,Controlled,Free,291,6295,150.13
Norfolk/Va B/Pt/Ch  VA,New York/Newark     NY,1.02,No,21125,32991,1536012,8621121,Free,Constrained,291,6295,150.13
Burbank             CA,Oakland             CA,1,No,24706,29846,9056076,2237227,Free,Free,325,23041,56.43
Las Vegas           NV,Oakland             CA,1.05,Yes,24575,29846,1197234,2237227,Free,Free,407,13356,58.03
Los Angeles         CA,Oakland             CA,1,No,24706,29846,9056076,2237227,Free,Free,334,43884,53.8
Dallas/Fort Worth   TX,Oklahoma City       OK,1,No,28637,20927,3036732,1021733,Free,Free,180,7646,66.14
Houston             TX,Oklahoma City       OK,1.09,No,27211,20927,3770125,1021733,Free,Free,410,5425,96.18
Chicago             IL,Omaha               NE,1.02,No,29260,25127,7830332,679984,Controlled,Free,428,8724,67.77
Chicago             IL,Omaha               NE,1.02,No,29260,25127,7830332,679984,Free,Free,428,8724,67.77
Denver              CO,Omaha               NE,1,No,29055,25127,1862106,679984,Free,Free,474,3734,139.81
Atlanta             GA,Orlando             FL,1.01,Yes,26993,22360,3532657,1421287,Free,Free,404,18673,92.78
Boston              MA,Orlando             FL,1.24,Yes,30124,22360,5787293,1421287,Free,Free,1119,23222,117.97
Chicago             IL,Orlando             FL,1.09,Yes,29260,22360,7830332,1421287,Controlled,Free,995,26034,121.67
Chicago             IL,Orlando             FL,1.09,Yes,29260,22360,7830332,1421287,Free,Free,995,26034,121.67
Cincinnati          OH,Orlando             FL,1.17,Yes,25059,22360,1595139,1421287,Free,Constrained,756,5235,138.88
Cleveland           OH,Orlando             FL,1.34,Yes,26046,22360,2230955,1421287,Free,Free,902,5696,140.9
Columbus            OH,Orlando             FL,1.5,Yes,24502,22360,125722,1421287,Free,Free,802,6399,104.33
Dallas/Fort Worth   TX,Orlando             FL,1.08,Yes,28637,22360,3036732,1421287,Free,Free,984,11392,153.58
Denver              CO,Orlando             FL,1.55,Yes,29055,22360,1862106,1421287,Free,Free,1545,5820,201.43
Detroit             MI,Orlando             FL,1.16,Yes,26506,22360,4459144,1421287,Free,Constrained,963,16414,102.95
Fort Lauderdale     FL,Orlando             FL,1,Yes,26752,22360,1440377,1421287,Free,Free,174,9216,45.55
Hartford            CT,Orlando             FL,1.36,Yes,30268,22360,1106780,1421287,Free,Free,1045,9823,114.5
Houston             TX,Orlando             FL,1.28,Yes,27211,22360,3770125,1421287,Free,Free,856,5798,150.04
Kansas City         MO,Orlando             FL,1.68,Yes,25450,22360,1694803,1421287,Free,Free,1064,5610,121.35
Las Vegas           NV,Orlando             FL,1.48,Yes,24575,22360,1197234,1421287,Free,Free,2035,5829,117.59
Los Angeles         CA,Orlando             FL,1.4,Yes,24706,22360,9056076,1421287,Free,Free,2216,8084,258.43
Miami               FL,Orlando             FL,1,Yes,21207,22360,2105604,1421287,Free,Free,192,7967,96.53
Miami               FL,Orlando             FL,1,Yes,21207,22360,2105604,1421287,Free,Free,192,7967,96.53
Minneapolis/St Paul MN,Orlando             FL,1.34,Yes,28739,22360,2761118,1421287,Free,Constrained,1308,4978,204.62
New Orleans         LA,Orlando             FL,1.3,Yes,22038,22360,1308499,1421287,Free,Free,541,5057,92.35
New York/Newark     NY,Orlando             FL,1.08,Yes,32991,22360,8621121,1421287,Controlled,Free,947,54990,123.97
New York/Newark     NY,Orlando             FL,1.08,Yes,32991,22360,8621121,1421287,Controlled,Free,947,54990,123.97
New York/Newark     NY,Orlando             FL,1.08,Yes,32991,22360,8621121,1421287,Free,Constrained,947,54990,123.97
Atlanta             GA,Philadelphia/Camden PA,1.06,No,26993,27994,3532657,4948339,Free,Free,674,16512,125.09
Boston              MA,Philadelphia/Camden PA,1.02,No,30124,27994,5787293,4948339,Free,Free,265,17196,138.56
Chicago             IL,Philadelphia/Camden PA,1.08,No,29260,27994,7830332,4948339,Controlled,Free,673,16559,215.06
Chicago             IL,Philadelphia/Camden PA,1.08,No,29260,27994,7830332,4948339,Free,Free,673,16559,215.06
Dallas/Fort Worth   TX,Philadelphia/Camden PA,1.17,No,28637,27994,3036732,4948339,Free,Free,1314,7630,249.45
Denver              CO,Philadelphia/Camden PA,1.35,No,29055,27994,1862106,4948339,Free,Free,1568,3599,335.55
Detroit             MI,Philadelphia/Camden PA,1.05,No,26506,27994,4459144,4948339,Free,Constrained,450,7899,175.66
Fort Lauderdale     FL,Philadelphia/Camden PA,1.21,Yes,26752,27994,1440377,4948339,Free,Free,997,6541,132.77
Houston             TX,Philadelphia/Camden PA,1.36,No,27211,27994,3770125,4948339,Free,Free,1347,4023,353.56
Las Vegas           NV,Philadelphia/Camden PA,1.36,Yes,24575,27994,1197234,4948339,Free,Free,2179,6948,165.9
Los Angeles         CA,Philadelphia/Camden PA,1.37,No,24706,27994,9056076,4948339,Free,Free,2407,8981,293.21
Miami               FL,Philadelphia/Camden PA,1.15,Yes,21207,27994,2105604,4948339,Free,Free,1026,5725,152.67
Minneapolis/St Paul MN,Philadelphia/Camden PA,1.18,No,28739,27994,2761118,4948339,Free,Constrained,979,4149,295.46
Orlando             FL,Philadelphia/Camden PA,1.14,Yes,22360,27994,1421287,4948339,Free,Free,872,17853,114.28
Albuquerque         NM,Phoenix             AZ,1,No,22089,23025,668159,2753373,Free,Free,327,13947,57.05
Atlanta             GA,Phoenix             AZ,1.25,No,26993,23025,3532657,2753373,Free,Free,1591,5944,200.09
Austin              TX,Phoenix             AZ,1.1,No,23665,23025,1038660,2753373,Free,Free,876,4511,105.41
Boston              MA,Phoenix             AZ,1.7,No,30124,23025,5787293,2753373,Free,Free,2295,7130,197.42
Burbank             CA,Phoenix             AZ,1,No,24706,23025,9056076,2753373,Free,Free,363,10529,57.33
Chicago             IL,Phoenix             AZ,1.11,No,29260,23025,7830332,2753373,Controlled,Free,1446,23009,152.1
Chicago             IL,Phoenix             AZ,1.11,No,29260,23025,7830332,2753373,Free,Free,1446,23009,152.1
Cleveland           OH,Phoenix             AZ,1.56,No,26046,23025,2230955,2753373,Free,Free,1749,4272,166.66
Columbus            OH,Phoenix             AZ,1.56,No,24502,23025,125722,2753373,Free,Free,1673,4780,158
Dallas/Fort Worth   TX,Phoenix             AZ,1.1,No,28637,23025,3036732,2753373,Free,Free,870,7060,229.84
Denver              CO,Phoenix             AZ,1.02,No,29055,23025,1862106,2753373,Free,Free,590,11723,133.04
Detroit             MI,Phoenix             AZ,1.22,No,26506,23025,4459144,2753373,Free,Constrained,1682,8384,191.66
El Paso             TX,Phoenix             AZ,1,No,14600,23025,677757,2753373,Free,Free,353,6211,60.73
Houston             TX,Phoenix             AZ,1.08,No,27211,23025,3770125,2753373,Free,Free,1014,6277,148.28
Kansas City         MO,Phoenix             AZ,1.18,No,25450,23025,1694803,2753373,Free,Free,1046,8478,85.48
Las Vegas           NV,Phoenix             AZ,1,Yes,24575,23025,1197234,2753373,Free,Free,248,22995,53.07
Los Angeles         CA,Phoenix             AZ,1.01,No,24706,23025,9056076,2753373,Free,Free,366,35471,51.73
Minneapolis/St Paul MN,Phoenix             AZ,1.12,No,28739,23025,2761118,2753373,Free,Constrained,1279,8730,195.91
New York/Newark     NY,Phoenix             AZ,1.39,No,32991,23025,8621121,2753373,Controlled,Free,2148,14830,273.12
New York/Newark     NY,Phoenix             AZ,1.39,No,32991,23025,8621121,2753373,Controlled,Free,2148,14830,273.12
New York/Newark     NY,Phoenix             AZ,1.39,No,32991,23025,8621121,2753373,Free,Constrained,2148,14830,273.12
Oakland             CA,Phoenix             AZ,1.03,No,29846,23025,2237227,2753373,Free,Free,638,8271,84.15
Omaha               NE,Phoenix             AZ,1.34,No,25127,23025,679984,2753373,Free,Free,1031,5953,81.32
Orlando             FL,Phoenix             AZ,1.78,Yes,22360,23025,1421287,2753373,Free,Free,1851,4099,162.53
Philadelphia/Camden PA,Phoenix             AZ,1.55,No,27994,23025,4948339,2753373,Free,Free,2083,3891,291.78
Atlanta             GA,Pittsburgh          PA,1.04,No,26993,25054,3532657,2374260,Free,Constrained,525,7664,93.55
Boston              MA,Pittsburgh          PA,1.1,No,30124,25054,5787293,2374260,Free,Constrained,483,5539,186.28
Chicago             IL,Pittsburgh          PA,1.05,No,29260,25054,7830332,2374260,Controlled,Constrained,412,6585,208.86
Chicago             IL,Pittsburgh          PA,1.05,No,29260,25054,7830332,2374260,Free,Constrained,412,6585,208.86
New York/Newark     NY,Pittsburgh          PA,1.02,No,32991,25054,8621121,2374260,Controlled,Constrained,325,13957,169.9
New York/Newark     NY,Pittsburgh          PA,1.02,No,32991,25054,8621121,2374260,Controlled,Constrained,325,13957,169.9
New York/Newark     NY,Pittsburgh          PA,1.02,No,32991,25054,8621121,2374260,Free,Constrained,325,13957,169.9
New York/Newark     NY,Pittsburgh          PA,1.02,No,32991,25054,8621121,2374260,Free,Constrained,325,13957,169.9
Orlando             FL,Pittsburgh          PA,1.23,Yes,22360,25054,1421287,2374260,Free,Constrained,831,7121,122.62
Philadelphia/Camden PA,Pittsburgh          PA,1.02,No,27994,25054,4948339,2374260,Free,Constrained,264,9515,134.09
Boise               ID,Portland            OR,1.01,No,23901,26409,372606,249561,Free,Free,344,5899,66.88
Chicago             IL,Portland            OR,1.34,No,29260,26409,7830332,249561,Controlled,Free,1749,5025,279.61
Chicago             IL,Portland            OR,1.34,No,29260,26409,7830332,249561,Free,Free,1749,5025,279.61
Denver              CO,Portland            OR,1.3,No,29055,26409,1862106,249561,Free,Free,992,4701,188.46
Honolulu (Intl)     HI,Portland            OR,1.63,Yes,26681,26409,873131,249561,Free,Free,2603,2746,205.51
Las Vegas           NV,Portland            OR,1.16,Yes,24575,26409,1197234,249561,Free,Free,760,9497,69.19
Los Angeles         CA,Portland            OR,1.06,No,24706,26409,9056076,249561,Free,Free,831,16784,91.97
New York/Newark     NY,Portland            OR,1.77,No,32991,26409,8621121,249561,Controlled,Free,2444,4455,302.33
New York/Newark     NY,Portland            OR,1.77,No,32991,26409,8621121,249561,Controlled,Free,2444,4455,302.33
New York/Newark     NY,Portland            OR,1.77,No,32991,26409,8621121,249561,Free,Constrained,2444,4455,302.33
Oakland             CA,Portland            OR,1.01,No,29846,26409,2237227,249561,Free,Free,543,10016,63.76
Phoenix             AZ,Portland            OR,1.31,No,23025,26409,2753373,249561,Free,Free,1001,8292,114.95
Sacramento          CA,Portland            OR,1.04,No,24236,26409,1481076,249561,Free,Free,485,7070,65.8
Salt Lake City      UT,Portland            OR,1.03,No,21121,26409,1228816,249561,Free,Free,633,6602,79.48
San Diego           CA,Portland            OR,1.26,No,23903,26409,2673620,249561,Free,Free,933,6302,96.58
San Francisco       CA,Portland            OR,1.01,No,38813,26409,1653017,249561,Free,Free,542,13527,68.41
San Jose            CA,Portland            OR,1,No,34880,26409,1594251,249561,Free,Free,569,11593,65.84
Seattle/Tacoma      WA,Portland            OR,1,No,30916,26409,2230831,249561,Free,Free,135,11415,88.46
Spokane             WA,Portland            OR,1.01,No,21300,26409,403939,249561,Free,Free,281,6760,50.38
Baltimore/Wash Intl MD,Providence          RI,1.11,No,29838,24205,29838,905329,Free,Free,328,1504,176.88
Chicago             IL,Providence          RI,1.11,No,29260,24205,7830332,905329,Controlled,Free,842,2874,219.38
Chicago             IL,Providence          RI,1.11,No,29260,24205,7830332,905329,Free,Free,842,2874,219.38
New York/Newark     NY,Providence          RI,1,No,32991,24205,8621121,905329,Controlled,Free,147,4158,106.29
New York/Newark     NY,Providence          RI,1,No,32991,24205,8621121,905329,Controlled,Free,147,4158,106.29
New York/Newark     NY,Providence          RI,1,No,32991,24205,8621121,905329,Free,Constrained,147,4158,106.29
Orlando             FL,Providence          RI,1.55,Yes,22360,24205,1421287,905329,Free,Free,1075,4771,108.96
Atlanta             GA,Raleigh/Durham      NC,1.03,No,26993,26101,3532657,1021830,Free,Free,356,9307,123.44
Boston              MA,Raleigh/Durham      NC,1.26,No,30124,26101,5787293,1021830,Free,Free,606,5598,140.07
Chicago             IL,Raleigh/Durham      NC,1.12,No,29260,26101,7830332,1021830,Controlled,Free,636,6123,193.67
Chicago             IL,Raleigh/Durham      NC,1.12,No,29260,26101,7830332,1021830,Free,Free,636,6123,193.67
Dallas/Fort Worth   TX,Raleigh/Durham      NC,1.19,No,28637,26101,3036732,1021830,Free,Free,1065,4285,230.56
New York/Newark     NY,Raleigh/Durham      NC,1.06,No,32991,26101,8621121,1021830,Controlled,Free,426,12883,154.73
New York/Newark     NY,Raleigh/Durham      NC,1.06,No,32991,26101,8621121,1021830,Controlled,Free,426,12883,154.73
New York/Newark     NY,Raleigh/Durham      NC,1.06,No,32991,26101,8621121,1021830,Free,Constrained,426,12883,154.73
Philadelphia/Camden PA,Raleigh/Durham      NC,1.02,No,27994,26101,4948339,1021830,Free,Free,346,4288,144.86
Washington          DC,Raleigh/Durham      NC,1.01,No,31981,26101,4549784,1021830,Free,Free,225,7241,109.44
Washington          DC,Raleigh/Durham      NC,1.01,No,31981,26101,4549784,1021830,Controlled,Free,225,7241,109.44
Chicago             IL,Reno                NV,1.41,Yes,29260,29284,7830332,298680,Controlled,Free,1680,3926,125.9
Chicago             IL,Reno                NV,1.41,Yes,29260,29284,7830332,298680,Free,Free,1680,3926,125.9
Las Vegas           NV,Reno                NV,1,Yes,24575,29284,1197234,298680,Free,Free,344,13102,54.38
Los Angeles         CA,Reno                NV,1.09,Yes,24706,29284,9056076,298680,Free,Free,388,10213,60.28
Oakland             CA,Reno                NV,1,Yes,29846,29284,2237227,298680,Free,Free,180,5220,47.85
Phoenix             AZ,Reno                NV,1.07,Yes,23025,29284,2753373,298680,Free,Free,592,4517,72.42
Portland            OR,Reno                NV,1.06,Yes,26409,29284,249561,298680,Free,Free,444,9368,44.89
San Diego           CA,Reno                NV,1.15,Yes,23903,29284,2673620,298680,Free,Free,488,3958,68.59
San Jose            CA,Reno                NV,1,Yes,34880,29284,1594251,298680,Free,Free,188,6394,42.47
Seattle/Tacoma      WA,Reno                NV,1.02,Yes,30916,29284,2230831,298680,Free,Free,569,14609,45.11
New York/Newark     NY,Richmond (Intl)     VA,1.04,No,32991,26553,8621121,936107,Controlled,Free,287,4472,218.54
New York/Newark     NY,Richmond (Intl)     VA,1.04,No,32991,26553,8621121,936107,Controlled,Free,287,4472,218.54
New York/Newark     NY,Richmond (Intl)     VA,1.04,No,32991,26553,8621121,936107,Free,Constrained,287,4472,218.54
New York/Newark     NY,Rochester           NY,1.01,No,32991,26044,8621121,113091,Controlled,Free,254,8469,127.38
